[YYYY-MM-DD HH:mm:SS],AAPL,ADBE,ADP,AMD,AMZN,ASML,ATVI,AVGO,CRM,CSCO,FISV,GOOGL,IBM,INFY,INTC,INTU,META,MSFT,NDX,NFLX,NOW,NVDA,ORCL,PYPL,QCOM,SIRI,TSLA,TXN,VMW
06/07/2015 10:00,31.42,80.71,80.44,2.475,21.8385,102.2,24.68,137.2265,69.37,27.0399,41.855,27.2035,164.23,7.94495,30.2242,101.21,87.2,44.11,4416.75,94.13571429,73.66,5.115,39.845,37.25,63.23,3.685,18.46666667,51.7,83.36
06/07/2015 10:30,31.4025,80.69,80.46,2.47,21.8975,102.41,24.88,136.94,69.44,27.11,41.86,27.297,164.46,7.9,30.295,101.1599,87.54,44.2642,4423.19,94.08542857,74.2,5.0975,40.085,36.08,63.315,3.69,18.48266667,51.7,82.86
06/07/2015 11:00,31.5,80.93,80.7101,2.5,21.938,102.76,24.87,137.27,69.5699,27.15,42,27.361,164.8956,7.9475,30.31,101.32,87.83,44.29,4433.57,94.61571429,74.29,5.105,40.2,36.775,63.354,3.69,18.55866667,52,83.28
06/07/2015 11:30,31.43,80.75,80.47,2.49,21.83,102.18,24.83,136.5,69.208,27.07,42,27.311,164.69,7.93,30.17,101.18,87.86,44.16,4421.27,94.67571429,74.11,5.06875,40.26,36.55,63.19,3.69,18.73466667,51.79,83.045
06/07/2015 12:00,31.4375,80.85,80.61,2.5,21.788,102.53,24.79,136.36,69.28,27.18,42.055,27.275,164.77,7.915,30.23,101.31,87.85,44.265,4423.71,94.54285714,74.06,5.08,40.27,36.44,63.295,3.695,18.66866667,51.84,83.17
06/07/2015 12:30,31.422475,80.77,80.71,2.505,21.79,102.5,24.76,135.96,69.0499,27.185,42.035,27.2585,164.79,7.9225,30.1835,101.36,87.9083,44.3,4424.29,94.76714286,74.24,5.07375,40.25,36.3937,63.305,3.69,18.67266667,51.731,83.18
06/07/2015 13:00,31.46725,80.8,80.76,2.5,21.7815,102.21,24.78,136,69.197,27.2,42.0625,27.29925,164.57,7.9,30.15,101.39,87.757,44.42,4423.11,94.61142857,74.18,5.0525,40.25,36.68,63.1847,3.69,18.61466667,51.61,83.16
06/07/2015 13:30,31.415,80.59,80.59,2.48,21.7345,101.75,24.725,135.47,68.97,27.115,41.97,27.2315,164.16,7.93,30.06,101.3625,87.24,44.35,4412.2,94.41285714,73.9,5.0375,40.22,36.87,63.02,3.685,18.566,51.38,82.98
06/07/2015 14:00,31.38,80.45,80.46,2.475,21.7295,101.68,24.665,134.89,68.82,27.1332,41.93,27.2255,164.12,7.9225,30.0199,101.29,87.18,44.364,4406.4,94.51,73.56,5.0175,40.125,36.95,63.0099,3.68,18.54666667,51.245,82.81
06/07/2015 14:30,31.3475,80.38,80.41,2.445,21.6925,101.585,24.64,134.35,68.63,27.08,41.915,27.2125,163.9,7.935,29.88,101.2,86.85,44.21,4399.24,94.22051429,73.245,5.00875,39.99,36.7,62.81,3.665,18.53333333,51.13,82.48
06/07/2015 15:00,31.37125,80.37,80.5,2.455,21.695,101.61,24.67,134.34,68.66,27.105,41.96,27.19775,164.0825,7.93,29.88,101.39,86.99,44.18,4400.15,94.15371429,73.12,5.005,39.97,36.53,62.865,3.665,18.567,51.18,82.59
